mainFrameColor,22,22,22
jButton1,168,66,112
jButton2,31,210,83
jButton3,56,17,161
jButton4,38,30,140
jButton5,57,141,137
jButton6,119,101,174
jButton7,37,74,227
jButton8,22,225,13
jButton9,75,109,239
jButton10,122,224,89
jButton11,230,101,34
jButton12,204,118,229
jButton13,15,248,169
jButton14,49,229,217
jButton15,45,102,114
jButton16,115,192,1
jButton17,236,249,84
jButton18,182,103,10
jTextField1,15,104,178
jTextField1TextColor,174,236,175
jLabel1,122,196,202
jPanel1,154,156,173
jPanel2,193,146,135
jPanel3,108,126,70
jPanel4,13,93,222
jPanel5,223,48,63
